Wireless,N
And Videos,I have had it for a few months now and I get alot of great compliments on my pictures they are professional looking my family and friends say and these are just on the automatic setting LOL wait until I read more and experiment. I have taken nature shots portrait shots and sports shots they have all come out amazing. My friends son is Captain of his High School Football team and I have gotten some great shots for him to send to recruiters and colleges now lets talk Video I have taken alot for Football and I can not believe the quality and sound you would have thought I used a real video camera and not one from a camera it has surpassed what I have expected for a camera I am unbelievably happy with my purchase.
Material,The  wings  that I referred to earlier the things that stick out on either side of her head do not clean easily   My daughter puked ALL over her carseat and while the main carseat pad comes off and can be laundered in the machine the part that attaches to the headrest DOES NOT come off and therefore needs to be cleaned by hand.  Thats not so bad since she did not puke on that part except that I was not aware that the headrest pad is attached to another pad that continues down the back behind the main pad   So there is actually quite a big piece that you cannot take off to wash.  Im having quite an interesting time getting the nasty puke smell out of it.All that to say - I still love a lot of things about this carseat but I do NOT love cleaning it.
Base,We asked for this as a Baby Shower gift back in 2010 when my daughter was born. Started to use it in Feb of this year my daughter is on the small side so she just outgrew the infant seat and LOVE IT  Easy to install via my hubby and my daughter seems to be more pleasant on car rides now that she can sit up and see more out of the windows in the back seat.We ordered another one for this review for my MILs car since she cares for my daughter 2 days a week. Her car is a Honda Civic so it was a little tricky to get it in. Tight fit but does the job its supposed to do. Again my little girl likes being in the seat and able to look out of the windows at the world around her. I would recommend this product to anyone I knew who was in need of a good car seat.
Baby Comfort,The car seat was delivered one day after I ordered it online. Which was outstanding. I took it out of the box and my 2 year old became giddy with excitement. Normally he literally fights and struggles when it is time to get into the the car but not this time. I love this chair  My child is so comfortable and Im confident that he is safe and secure. I dont know if anyone else feels this way but trying to install a car seat is just the worst task ever. The process here was like a dream brought to life. The instructions were simple and there was no wondering whether or not you got it right. Although the seat is big which I love I was able to fit it easily and securely in the back of my Nissan Sentra. As for sleeping my little ones head did not hang over once.
Memory,This is my first time buying a Digital SLR.  I have mainly used point and shoot cameras in the past and have always had fun taking pictures.  I wanted to start digital photography as a hobby so I decided to buy a nicer camera.  After reading many reviews and comparisons I decided on this camera as it is the update to the Nikon D3000 that a friend of mine has.  They love their camera so I figured this was a good choice.  Unfortunately I have not learned enough to take many pictures off of Auto mode so it acts like a point and shoot.  Compared to my Kodak point and shoot the pictures are great.  I love this camera as it does a good job of taking pictures and is not very heavy.  It looks like it should be but does not feel like it is.  It appears to be a very sturdy camera.
Feature Comparison, This camera is very tight on power consumption and has extreme accuracy when you set it for pinpoint focusing as I do for model and portrait photography work. The macro features are also on par with its more advanced and WAY higher priced big brothers to this camera. Now the 18.1MP sensor.....WOW  The image sizes of the CMOS sensor allow me great latitude in adjusting and tweaking my RAW images anytime I wish to be creative. If you are just starting out are bored with the out of date  point-n-shoot  want to upgrade your digital cams or you want to move from film to digital the T3i will not disappoint. Its an excellent camera for ANY level of photographer - beginner or experienced pro this camera really shines. Oh and the video.....Its 1080p HD nothing more needs to be said.
Safety,We are using this as a rear facing seat in our Chevy Malibu and it fits just fine. Yes it is a big car seat but safety was my number one priority when upgrading to a toddler car seat so I dont mind the bulk. I love that we can keep the seat rear facing up to 40 lbs now that the AAPs new recommendation is to wait till age 2 this seat makes it easy to do so.Im glad we had the Chicco Keyfit 30 when our guy was an infant. Im sure this is safe enough but I wouldnt want it as an infant seat . . . too inconvenient. Even though my son isnt quiet 1 yet he was ready for a more toddler friendly seat. This delivers he isnt leaning back as far and the sides dont cave in next to him. I could tell he liked having things a little roomier the moment I put him in this seat. He still falls asleep with ease.
Safe And Secure,Pros- The 18-135mm lens is a nice upgrade to the standard kit 18-55mm lens. Especially if this is your first DSLR and you dont want to spend more money on lenses. It is also good for trips taking pictures of kids or in any other situation where you dont want to change lenses. And you save about 100 when purchasing this kit compared to body + 18-135mm Canon lens.- Performance. Minimal shutter lag good low-light performance nice video.- Relatively light about 1 kg / 2 pounds with lens again good for trips.Cons- Price- Built-in flash is not so great. Also when taking pictures on wide angle setting lens creates a shade.- No autofocus when zooming while taking video pressing shutter button half way focuses the picture.- Focus in live picture mode is slow even slower than on most point and shoot cameras
Performance,Seriously disappointed with this carseat  Graco put overall adequate padding in the back part but where the baby sits there is absolutely NO padding.  -So babies only have the carseat covers thickness as padding and thats it. which is a joke to consider  padding  So theyre essentially sitting on the hard plastic.  For the price I expected padding on the ENTIRE carseat and for Graco to not skimp on it.Additionally with the side impact shaping its a very tight space to use the light blue head rests shown in the listing picture.  I havent tested it out yet but just from the appearance I can tell its not going to work.Ive purchased SnugRides in the past but this is the first one to have a serious lack of adequate padding.  Again for the price would it have REALLY been that expensive for Graco to continue the padding to the SEAT
Performance,the biggest is this darn sun visor. While it is very large the middle section is made of mesh. When the sun is bright it goes straight through the mesh and into the babys eyes. I am constantly trying to move the visor or the stroller to keep the sun out. Whoever thought to use mesh wasnt thinking.  the next problem I encountered was trying to get the correct extra base. They tell you to get the base for the snug ride 35 but there is not a level indicator on that base. Therefore when you are installing your snug ride 30 car seat with a snug ride 35 base you cannot tell if the car seat is level. After talking to 2 graco representatives the first one told me to  eyeball it  they were able to send me a snug ride 30 base. They claim the new base should be available on the market soon but for now you have to buy it through graco directly
Weight,cons the biggest is this darn sun visor. While it is very large the middle section is made of mesh. When the sun is bright it goes straight through the mesh and into the babys eyes. I am constantly trying to move the visor or the stroller to keep the sun out. Whoever thought to use mesh wasnt thinking.  the next problem I encountered was trying to get the correct extra base. They tell you to get the base for the snug ride 35 but there is not a level indicator on that base. Therefore when you are installing your snug ride 30 car seat with a snug ride 35 base you cannot tell if the car seat is level. After talking to 2 graco representatives the first one told me to  eyeball it  they were able to send me a snug ride 30 base. They claim the new base should be available on the market soon but for now you have to buy it through graco directly
Operation,ons the biggest is this darn sun visor. While it is very large the middle section is made of mesh. When the sun is bright it goes straight through the mesh and into the babys eyes. I am constantly trying to move the visor or the stroller to keep the sun out. Whoever thought to use mesh wasnt thinking.  the next problem I encountered was trying to get the correct extra base. They tell you to get the base for the snug ride 35 but there is not a level indicator on that base. Therefore when you are installing your snug ride 30 car seat with a snug ride 35 base you cannot tell if the car seat is level. After talking to 2 graco representatives the first one told me to  eyeball it  they were able to send me a snug ride 30 base. They claim the new base should be available on the market soon but for now you have to buy it through graco directly.
Operation,cons the biggest is this darn sun visor. While it is very large the middle section is made of mesh. When the sun is bright it goes straight through the mesh and into the babys eyes. I am constantly trying to move the visor or the stroller to keep the sun out. Whoever thought to use mesh wasnt thinking.  the next problem I encountered was trying to get the correct extra base. They tell you to get the base for the snug ride 35 but there is not a level indicator on that base. Therefore when you are installing your snug ride 30 car seat with a snug ride 35 base you cannot tell if the car seat is level. After talking to 2 graco representatives the first one told me to  eyeball it  they were able to send me a snug ride 30 base. They claim the new base should be available on the market soon but for now you have to buy it through graco directly.
Install,I find the ergonomic arrangement of controls on the camera to very very intuitive and pleasant to use.  The camera feels solid and is easy to hold with the very adequate right hand grip that has a rubberized cover allowing the user to maintain a firm grip.  The menu system for adjusting camera settings is also well designed and easy to use. The adjustment wheel just behind the shutter button makes changing settings very simple when in manual mode. I especially like the articulated LCD screen on the back of the camera that allows it to be positioned so that otherwise very awkward camera positions ie overhead or low to the ground are easily possible.  The view finder is very clear and has all basic settings info on the bottom border.  The camera comes with a comfortable good quality neck strap and is quite light and small compared to other SLRs.
LCD Screen,A few things I dont like but not many.  The size is pretty big not really an issue for me but it could be in some of the smaller cars out there although it does fit just fine in my husbands Elantra and that isnt a huge car.  Also my son figured out how to snap off the cup holder pretty quickly.  It isnt hard to get back on and it is nice that it pops off so it can go on either side but it is annoying when he gets it off and starts throwing it around.  Of course it would be that or his toys or whatever else he could find if he couldnt get it off.  You do need a seat protector but youd need that with any car seat.  I also dont like some of the colors but that is personal preference.Overall were really happy with this car seat.  It isnt the cheapest seat out there but for how good it is and compared to comparable seats youre getting one heck of a good deal.
LCD Screen,I looked at many items before pulling the trigger on the Canon T3i. I went to Best buy and tested out the Canon T2i the Nikon D5100 the Canon 60D and the Nikon D7000. After testing out all the products I came to the decision that the only cameras I liked that felt good in my hand were the Canon T2i Nikon D5100 and the Can T3i. I went for the T3i over the T2i because of the articulating LCD screen. I personally preferred the Canon T3i over the Canon T2i because of that one reason only which is not a huge deal. The reason I chose the T3i over the Nikon D5100 was because of video manual focus on the Canon and also the Nikon D5100 does not have a built-in focus motor. I am sure the Nikon D5100 is a spectacular camera and it sports a larder image sensor than the Canon. I just felt in my opinion that the Canon T3i was the best deal at 789.99 with the lens kit.
Articulating LCD Screen,Pros- The 18-135mm lens is a nice upgrade to the standard kit 18-55mm lens. Especially if this is your first DSLR and you dont want to spend more money on lenses. It is also good for trips taking pictures of kids or in any other situation where you dont want to change lenses. And you save about 100 when purchasing this kit compared to body + 18-135mm Canon lens.- Performance. Minimal shutter lag good low-light performance nice video.- Relatively light about 1 kg / 2 pounds with lens again good for trips.Cons- Price- Built-in flash is not so great. Also when taking pictures on wide angle setting lens creates a shade.- No autofocus when zooming while taking video pressing shutter button half way focuses the picture.- Focus in live picture mode is slow even slower than on most point and shoot camerasOther Recommendations- Make sure to get UV filter mostly for protecting the lens and a spare battery Ive got the Opteka one for 
Durability,I have a four year old and a two year old and they both love their true fit seats. Mommy loves them too. They are easy to install especially as compared to the graco one we bought first. The no rethread harness is awesome. The seat was comfortable looking and big enough rear facing all the way until two years old which is what the apa recommends.ProsBig enough for a toddlerEasy to installComfortable for kids from infant to toddlerNo thread adjustable strapsConsVery bulky. They fit fine in my odyssey mini van but not in my ford focus rear facing. Forward facing they fit in the smaller car ok.Catch a lot of stuff under the paddingCant adjust strap length while in rear facing position. This is most frustrating but not often an issue.Overall we feel both our children are safe and would recommend this for long term use to friends and family members. We are contemplating buying two more so we have matching seats in both vehicles. They are worth every penny.
Price,Some of the reviews complain that the Air  wings  cause problems for the kid seeing out but their height is adjustable AND I really like that when my daughter falls asleep they hold her head up so its not bobbing all over the place.The  wings  that I referred to earlier the things that stick out on either side of her head do not clean easily   My daughter puked ALL over her carseat and while the main carseat pad comes off and can be laundered in the machine the part that attaches to the headrest DOES NOT come off and therefore needs to be cleaned by hand.  Thats not so bad since she did not puke on that part except that I was not aware that the headrest pad is attached to another pad that continues down the back behind the main pad   So there is actually quite a big piece that you cannot take off to wash.  Im having quite an interesting time getting the nasty puke smell out of it.All that to say - I still love a lot of things about this carseat but I do NOT love cleaning it.
Cost,Pros1. Light weight great body design. Even with my bigger hands I can handle the camera with comfortability.2. Easy to operate. The buttons are spread evenly on left side and right side so you can use them with both hands quickly. For Canon t2i you do most things with your right thumb that slows you down a little bit.3. Takes good quality of videos.4. Very fast auto focus on shooting.Cons1. No wireless remote.2. Low resolution of LCD screen. It only has 230000 pixels Canon t2i has 1.02 million pixels. Sometimes when youre viewing playback you may need to zoom in to check the sharpness of the picture or do it with your computer monitor.3. The lens makes noises when youre recording videos using the continuous auto focus function and sometimes its not very accurate. If you buy this camera and this is your concern you can simply use manual focus which is not difficult.4. Battery life is not too great. I need to charge it everyday. To be safe consider to buy an extra Nikon EN-EL14 Rechargeable Li-Ion Battery for Nikon D3100 SLR and P7000 Digital Cameras.
Value For Money,ProsCanon service is apparently better than nikon. Will edit this if this does not turn out to be true. My switch was mostly due to pathetic nikon warranty service.The IS works really well and I think better than nikons which I had tried for a week with a borrowed D5000.Digital 3x zoom in video mode.The 430EX II external flash can be supported by the camera wirelessly. On nikons this is only true for the more expensive SB800s flashes.ConsAuto focus in  live view  mode seeing through the lcd instead of the viewfinder is extremely slow. Makes me not ever wanting to use it.Most canon lenses have loud autofocus motors. The lenses with the nicer USM AF motors are too expensive.No mode in canon to set Av mode and set min shutter speed while letting the camera pick the ISO. Standard in Nikons. Canon seems to pick the shutter speed based on the zoom focal length selected.White balance in Full auto mode sometimes messes up. Some pictures came out blue-ish.No good priced  normal  50mm/35mm lens available. There is only one 50mm el-cheapo which apparently looks extremely cheap but I will buy it anyway.
Installation,This camera/lens kit is probably the best you can get for the money.  I conducted countless hours of research on Canons Nikons and even Sonys.  I was used to using point-and-shoots and small flip style video cameras to make my videos.  I looked into DSLRs and really wanted a canon.  YOU CANT GO WRONG WITH THIS CAMERA   It is great for intermediate shooters who want to get their first or second DSLR.  It is very user Friendly and Fun to use.PROSFULL HD VIDEO RECORDING60fps HD Recording AMAZING slow motion Manual video controlsMic input18MP Stills  best for the money competitors are usually 16MPBuilt in image stabilizer 18-55mm lensSomewhat Compact sizeEase of useFast start up speed I have caught videos with this camera seconds away from missing a fast moving skate turns on in about 1 secondPRICE since the T3i came out this camera is going down in price but essentially is the same camera as the T3iCons If any No Flip-out LCD Not that much of an issue3.7 max burst rate not very fast at allNo audio recording level adjustAlmost no low light auto focus when taking long exposures of moon/stars/light painting
Safety,The seat is gigantic.  When rear facing it would only fit in one postion in my car. I currently live in Japan where my hubby is currently stationed with the USMC.  We drive a large van similar to the old Chevy Astro van.  This seat would onlt fit in the 2nd row in the middle seating position so that it came up almost through the 2 front seats.  I doubt this seat would fit into any other position in any car.  My other con is that it was extremely difficult to install it rear facing. Between my 3 kids Ive been through about 6 different convertible car seats in the past 8 years and this one was by far the most difficult to install rear facing with the vehicle belt.  At one point or another Ive had to install all of my previous car seats rear facing with the vehicle belt.  The instructions say to lift the seat pad when threading the belt through which I did but then once the seat was installed I couldnt get the pad back down over the seat where it was against the seat back of the actual vehicle seat.  So I had to uninstall it and reinstall it with the pad in its proper place making it very difficult to do.
Durable,I will make a brief of my own experience of this camera to DSLR beginnersPros1. Light weight great body design. Even with my bigger hands I can handle the camera with comfortability.2. Easy to operate. The buttons are spread evenly on left side and right side so you can use them with both hands quickly. For Canon t2i you do most things with your right thumb that slows you down a little bit.3. Takes good quality of videos.4. Very fast auto focus on shooting.Cons1. No wireless remote.2. Low resolution of LCD screen. It only has 230000 pixels Canon t2i has 1.02 million pixels. Sometimes when youre viewing playback you may need to zoom in to check the sharpness of the picture or do it with your computer monitor.3. The lens makes noises when youre recording videos using the continuous auto focus function and sometimes its not very accurate. If you buy this camera and this is your concern you can simply use manual focus which is not difficult.4. Battery life is not too great. I need to charge it everyday. To be safe consider to buy an extra Nikon EN-EL14 Rechargeable Li-Ion Battery for Nikon D3100 SLR and P7000 Digital Cameras.
Price,Ill inform the public so they too can enjoy ALL of the features of this outstanding camera. The articulating screen wasnt necessary yet it IS what made me choose this model over the T2i. The prices were just too close to pass it up. Ill be adding more T3i and T2i cameras to my photo biz in the coming months as well as trying out the IS lenses. This camera is very tight on power consumption and has extreme accuracy when you set it for pinpoint focusing as I do for model and portrait photography work. The macro features are also on par with its more advanced and WAY higher priced big brothers to this camera. Now the 18.1MP sensor.....WOW  The image sizes of the CMOS sensor allow me great latitude in adjusting and tweaking my RAW images anytime I wish to be creative. If you are just starting out are bored with the out of date  point-n-shoot  want to upgrade your digital cams or you want to move from film to digital the T3i will not disappoint. Its an excellent camera for ANY level of photographer - beginner or experienced pro this camera really shines. Oh and the video.....Its 1080p HD nothing more needs to be said. Canon yo
Price,We are using this as a rear facing seat in our Chevy Malibu and it fits just fine. Yes it is a big car seat but safety was my number one priority when upgrading to a toddler car seat so I dont mind the bulk. I love that we can keep the seat rear facing up to 40 lbs now that the AAPs new recommendation is to wait till age 2 this seat makes it easy to do so.Im glad we had the Chicco Keyfit 30 when our guy was an infant. Im sure this is safe enough but I wouldnt want it as an infant seat . . . too inconvenient. Even though my son isnt quiet 1 yet he was ready for a more toddler friendly seat. This delivers he isnt leaning back as far and the sides dont cave in next to him. I could tell he liked having things a little roomier the moment I put him in this seat. He still falls asleep with ease.The cup holder isnt pictured but there is a detachable one in the box. The material is easy to take off and machine wash when accidents happen.My hubby and Father-in-law set this up in about 7 minutes. If you are going to use it rear facing you do need a rolled up towel or pool noodle underneath this is clear in the instruction booklet.Overall Im very satisfied with my purchase.
Material,Since I have switched from Nikon to Canon a lot of my review is based on comparison to Nikon.ProsCanon service is apparently better than nikon. Will edit this if this does not turn out to be true. My switch was mostly due to pathetic nikon warranty service.The IS works really well and I think better than nikons which I had tried for a week with a borrowed D5000.Digital 3x zoom in video mode.The 430EX II external flash can be supported by the camera wirelessly. On nikons this is only true for the more expensive SB800s flashes.ConsAuto focus in  live view  mode seeing through the lcd instead of the viewfinder is extremely slow. Makes me not ever wanting to use it.Most canon lenses have loud autofocus motors. The lenses with the nicer USM AF motors are too expensive.No mode in canon to set Av mode and set min shutter speed while letting the camera pick the ISO. Standard in Nikons. Canon seems to pick the shutter speed based on the zoom focal length selected.White balance in Full auto mode sometimes messes up. Some pictures came out blue-ish.No good priced  normal  50mm/35mm lens available. There is only one 50mm el-cheapo which apparently looks extremely cheap but I will buy it anyway.
Material,pros VERY easy to install base in car. It takes my husband less than 2 minutes.  excellent padding and very nice soft fabric. I rolled some burp cloths on the side to stabilize his head while hes still small. May be regretting the black fabric in Texas summers though.  light weight and fits well in the middle seat in my midsize infiniti. However I could not put it behind the drivers seat when my 510  husband drives. Not really an issue since the middle is the safest position.cons the biggest is this darn sun visor. While it is very large the middle section is made of mesh. When the sun is bright it goes straight through the mesh and into the babys eyes. I am constantly trying to move the visor or the stroller to keep the sun out. Whoever thought to use mesh wasnt thinking.  the next problem I encountered was trying to get the correct extra base. They tell you to get the base for the snug ride 35 but there is not a level indicator on that base. Therefore when you are installing your snug ride 30 car seat with a snug ride 35 base you cannot tell if the car seat is level. After talking to 2 graco representatives the first one told me to  eyeball it  they were able to send me a snug ride 30 base. They claim the new base should be available on the market soon but for now you have to buy it through graco directly.
Cleaning,ros VERY easy to install base in car. It takes my husband less than 2 minutes.  excellent padding and very nice soft fabric. I rolled some burp cloths on the side to stabilize his head while hes still small. May be regretting the black fabric in Texas summers though.  light weight and fits well in the middle seat in my midsize infiniti. However I could not put it behind the drivers seat when my 510  husband drives. Not really an issue since the middle is the safest position.cons the biggest is this darn sun visor. While it is very large the middle section is made of mesh. When the sun is bright it goes straight through the mesh and into the babys eyes. I am constantly trying to move the visor or the stroller to keep the sun out. Whoever thought to use mesh wasnt thinking.  the next problem I encountered was trying to get the correct extra base. They tell you to get the base for the snug ride 35 but there is not a level indicator on that base. Therefore when you are installing your snug ride 30 car seat with a snug ride 35 base you cannot tell if the car seat is level. After talking to 2 graco representatives the first one told me to  eyeball it  they were able to send me a snug ride 30 base. They claim the new base should be available on the market soon but for now you have to buy it through graco directly.I think I would purchase this car seat again if they changed the visor and made the new base available.
Features,I researched several SLRs before deciding on the Canon T3i.  Im happy with my choice so far having purchased the camera first of all to take high quality photos of fairly small works of sculpture art using the Canon 60mm macro lens.  For that use the camera and lens seem to work very well.  I find the ergonomic arrangement of controls on the camera to very very intuitive and pleasant to use.  The camera feels solid and is easy to hold with the very adequate right hand grip that has a rubberized cover allowing the user to maintain a firm grip.  The menu system for adjusting camera settings is also well designed and easy to use. The adjustment wheel just behind the shutter button makes changing settings very simple when in manual mode. I especially like the articulated LCD screen on the back of the camera that allows it to be positioned so that otherwise very awkward camera positions ie overhead or low to the ground are easily possible.  The view finder is very clear and has all basic settings info on the bottom border.  The camera comes with a comfortable good quality neck strap and is quite light and small compared to other SLRs. Battery life seems to be very good - longer than I expected.  The included corded battery charger will appeal to some but not to those who prefer the travel type charger with a swing-out plug.  This is not a professional level SLR but it performs very well as a small light APS-C camera.
Clean,Pros1. Light weight great body design. Even with my bigger hands I can handle the camera with comfortability.2. Easy to operate. The buttons are spread evenly on left side and right side so you can use them with both hands quickly. For Canon t2i you do most things with your right thumb that slows you down a little bit.3. Takes good quality of videos.4. Very fast auto focus on shooting.Cons1. No wireless remote.2. Low resolution of LCD screen. It only has 230000 pixels Canon t2i has 1.02 million pixels. Sometimes when youre viewing playback you may need to zoom in to check the sharpness of the picture or do it with your computer monitor.3. The lens makes noises when youre recording videos using the continuous auto focus function and sometimes its not very accurate. If you buy this camera and this is your concern you can simply use manual focus which is not difficult.4. Battery life is not too great. I need to charge it everyday. To be safe consider to buy an extra Nikon EN-EL14 Rechargeable Li-Ion Battery for Nikon D3100 SLR and P7000 Digital Cameras.Overall this is an incredible camera. You will not regret it.In addition if youd love to take beautiful portraits for your beloved ones Id highly recommend you to also get a Nikon 35mm f/1.8G AF-S DX Lens for Nikon Digital SLR Cameras. It can be used to take short range portraits close-ups and indoors where the light is insufficient. I am not doing ads for Nikon or Amazon but you will really find the lens worth your investment.
Removable Fabric, have been using the graco snug ride 30 metropolis for 2 months now. So far I am only satisfied with this car seat.pros VERY easy to install base in car. It takes my husband less than 2 minutes.  excellent padding and very nice soft fabric. I rolled some burp cloths on the side to stabilize his head while hes still small. May be regretting the black fabric in Texas summers though.  light weight and fits well in the middle seat in my midsize infiniti. However I could not put it behind the drivers seat when my 510  husband drives. Not really an issue since the middle is the safest position.cons the biggest is this darn sun visor. While it is very large the middle section is made of mesh. When the sun is bright it goes straight through the mesh and into the babys eyes. I am constantly trying to move the visor or the stroller to keep the sun out. Whoever thought to use mesh wasnt thinking.  the next problem I encountered was trying to get the correct extra base. They tell you to get the base for the snug ride 35 but there is not a level indicator on that base. Therefore when you are installing your snug ride 30 car seat with a snug ride 35 base you cannot tell if the car seat is level. After talking to 2 graco representatives the first one told me to  eyeball it  they were able to send me a snug ride 30 base. They claim the new base should be available on the market soon but for now you have to buy it through graco directly.I think I would purchase this car seat again if they changed the visor and made the new base available.
Easy To Clean ,Rear facing is the safest way for small children to travel when in a car.  After purchasing this seat we took it for a test drive literally with the baby in it.  He seemed very comfortable in it and I liked that the extra deep side wings around the head kept his head from slumping to the side.  I love the no rethread harness and although it took me a bit to figure out how to work it it is still fairly simple and much preferrable over the rethread type.Now for the cons.  The seat is gigantic.  When rear facing it would only fit in one postion in my car. I currently live in Japan where my hubby is currently stationed with the USMC.  We drive a large van similar to the old Chevy Astro van.  This seat would onlt fit in the 2nd row in the middle seating position so that it came up almost through the 2 front seats.  I doubt this seat would fit into any other position in any car.  My other con is that it was extremely difficult to install it rear facing. Between my 3 kids Ive been through about 6 different convertible car seats in the past 8 years and this one was by far the most difficult to install rear facing with the vehicle belt.  At one point or another Ive had to install all of my previous car seats rear facing with the vehicle belt.  The instructions say to lift the seat pad when threading the belt through which I did but then once the seat was installed I couldnt get the pad back down over the seat where it was against the seat back of the actual vehicle seat.  So I had to uninstall it and reinstall it with the pad in its proper place making it very difficult to do.
Ease Of Cleaning,We got this car seat after being very happy with my sons First Years Via car seat.  He was too big already for the extra padding but we had him back facing in this seat for about six months and now have him forward facing.  Hes liked both ways.  I drive a Hyundai Sonata so we have decent room in my car for the seat but weve also put it in a friends four runner and my husbands Elantra and it has fit really well in all cars.  It is bigger than a lot of other car seats out there but I also feel like it is really well constructed and pretty comfy.  Safety is obviously my primary concern and this car seat fits really snugly in my car and doesnt move around.  I also find it really easy to install please do read all the directions first but after that time investment I havent had any issues installing it quickly and securely.  Plus the seat seams padded well and comfortable for my son.  Ive felt a lot of other car seats out there that feel like theyd be pretty hard to sit on and uncomfortable.A few things I dont like but not many.  The size is pretty big not really an issue for me but it could be in some of the smaller cars out there although it does fit just fine in my husbands Elantra and that isnt a huge car.  Also my son figured out how to snap off the cup holder pretty quickly.  It isnt hard to get back on and it is nice that it pops off so it can go on either side but it is annoying when he gets it off and starts throwing it around.  Of course it would be that or his toys or whatever else he could find if he couldnt get it off.  You do need a seat protector but youd need that with any car seat.  I also dont like some of the colors but that is personal preference.Overall were really happy with this car seat.  It isnt the cheapest seat out there but for how good it is and compared to comparable seats youre getting one heck of a good deal.
Material Cleaning,I bought this seat for my son who is now 8 months old.  I got it because I already have the Safety 1st Air Protect On Board 35 SE Infant Car Seat which I love.  My son is still in his infant car seat but not for much longer.  I love that this seat has such a high rear facing weight and height limit.  It is so high in fact that my 3 1/2 year old would still be able to be rear facing in this seat.  Rear facing is the safest way for small children to travel when in a car.  After purchasing this seat we took it for a test drive literally with the baby in it.  He seemed very comfortable in it and I liked that the extra deep side wings around the head kept his head from slumping to the side.  I love the no rethread harness and although it took me a bit to figure out how to work it it is still fairly simple and much preferrable over the rethread type.Now for the cons.  The seat is gigantic.  When rear facing it would only fit in one postion in my car. I currently live in Japan where my hubby is currently stationed with the USMC.  We drive a large van similar to the old Chevy Astro van.  This seat would onlt fit in the 2nd row in the middle seating position so that it came up almost through the 2 front seats.  I doubt this seat would fit into any other position in any car.  My other con is that it was extremely difficult to install it rear facing. Between my 3 kids Ive been through about 6 different convertible car seats in the past 8 years and this one was by far the most difficult to install rear facing with the vehicle belt.  At one point or another Ive had to install all of my previous car seats rear facing with the vehicle belt.  The instructions say to lift the seat pad when threading the belt through which I did but then once the seat was installed I couldnt get the pad back down over the seat where it was against the seat back of the actual vehicle seat.  So I had to uninstall it and reinstall it with the pad in its proper place making it very difficult to do.All in all I would definitely recommend this seat to others.
Size,
Accessories,
Infant Car Seat,
Usability,
Weight Limit,
Price,
Price,
Price,
Price,
Price,
Quality,
Value,
Value,
Quality And Price,
Well Made,
Overall,
Features,
Car Seat,
Value For Money,
U,
U,
Pricing,
Overall Performance,
Installation,
Installation,
Installation,
Installing,
Customer Satisfaction,
Install,
Weight,
Rear-facing,
Use For Beginners,
Cost,
Picture,
Installation,
Installation,
Installation,
Ease Of Installation,
Rear-facing,
Installation,
Installation,
Installation,
Installation,
Installation,
Installation,
Installation,
Ease Of Installation,
Usability,
In,
Rear Facing,
Price,
Price,
Price,
Price,
Quality,
Customer Service,
Installation,
Installation,
Installation,
Installation,
Installing,
Design,
Headrest,
Lens,
Picture Quality,
Quality,
Performance,
Picture,
Varitey,
Installation,
Components,
Lens,
Lens Compared To Others,
Installation,
Installation,
Installation,
Installation,
Installability,
Difficult To Install ,
Video,
Size,
Lens,
Info,
Installation,
Features,
Comparison With T3i,
Dedicated Iso Button,
Extra Features,
Functionality,
Usability,
No Blockage Of View,
Dimensions,
Camera Performance,
Price,
Quality,
Auto ISO Level Chossing,
Expertise,
Comfort & Safety,
Installation,
Installation,
Installation,
Installation,
Installation,
Installation,
Install,
Ease Of Use/installation,
Installation,
Head Rest,
Convenience,
Straps,
Harness,
Adjustable Straps,
Installation,
Visor Does Not Block Any Sun,
Needed Accessories,
Advice,
Filter,
LCD Screen,
Installation,
Installation,
Installation,
Usability,
Comparison To T31,
Lens,
Design,
Design,
Performance - Speed,
Picture Quality,
Overall Use And Picture/video Capability,
Comfort,
Lens,
Value,
Automodes,
Controls,
Quality,
Beginner,
Large,
Customer Service,
Flash,
Installing,
Menu System,
Iso Button,
Quality,
Installation,
Installation,
Removable Head Rest,
Sensor,
Size,
Auto Mode Not Good Quality Pictures,
T2 Vs T3,
User Credibility,
"\Prosumer\""""",
Install,
Install,
Memory Card,
T3i,
Installation,
FIt,
Comfort,
Sun Screening,
Dull Photos,
Customer Satisfaction,
Bad Nikon Warranty,
User-friendliness,
Quality,
Picture Quality,
Autofocus ,
Overall Use And Picture/video Capability,
Mode,
Auto,
Size,
Quality,
Ease Of Use,
User Comfort,
Compatability,
Safety,
Focus,
Installation,
Comfort,
Comfort,
Sun Visor,
Beginner Experience,
Lens,
Sun Visor,
Auto-focus,
Auto Shoot Quality,
Size,
Upgrade,
Safety,
Comfort,
Sa,
Price,
Price,
Rear Facing,
Target user type,
Lens,
Head Rest,
Focus,
Focus,
Focus,
Focus,
Focus,
Auto Focus,
Modes,
Live Picture,
User-friendly,
Performance,
Price,
Rear-facing,
Cons,
Durability,
Construction,
Ease Of Installation,
Attribute- Easy Child Placement/removal,
Ease Of Getting Child In And Out,
Usability,
Holding Camera In Awkward Positions,
Live Picture Mode Slow,
Ratings,
Convertability,
Installation,
Overall Review,
Ease Of Use,
Sleeping,
Menu System,
Size,
Size For Vehicle,
Installing,
Controls,
User-friendly,
Attribute- Pixel And Grain Makeup,
Price,
Size,
Comparison,
Automode,
Cost,
Picture,
Accessories,
Installation,
Quality,
Autofocus,
Headrest Comfortable,
T2 Vs T3,
Performance,
Image,
